learner_id,diagnostic_score,prior_ai_experience,scenario_performance,practice_completion_pct,confidence_1_to_5,completed_advanced_pathway
L0051,66.3,1,49.7,88.0,3,0
L0052,71.5,1,67.6,53.5,4,1
L0053,40.1,1,59.0,55.4,4,1
L0054,57.2,1,54.9,53.6,4,1
L0055,54.9,1,56.1,23.8,4,1
L0056,52.4,2,60.7,77.5,2,1
L0057,57.9,1,45.2,73.2,5,1
L0058,84.4,1,80.3,43.5,4,1
L0059,49.0,1,61.8,78.6,3,1
L0060,76.5,1,98.3,50.3,2,0
L0061,36.8,0,40.7,85.5,4,1
L0062,57.0,0,50.8,43.8,3,0
L0063,64.4,2,69.7,79.1,3,1
L0064,70.8,1,73.8,43.6,4,1
L0065,72.7,0,58.5,71.2,3,1
L0066,73.9,1,60.8,68.6,2,1
L0067,56.8,2,62.7,47.8,3,1
L0068,55.1,0,45.4,61.1,3,0
L0069,74.9,2,61.3,76.3,3,0
L0070,59.1,3,58.6,68.2,2,0
L0071,42.9,1,60.5,76.9,3,0
L0072,45.0,2,42.5,59.0,4,0
L0073,48.2,0,29.4,67.5,4,1
L0074,69.5,3,40.2,64.9,2,1
L0075,64.1,1,45.2,76.1,2,1
L0076,72.4,3,49.0,85.1,3,1
L0077,55.6,1,53.7,48.5,4,0
L0078,64.4,0,46.1,78.6,3,1
L0079,71.4,0,55.8,94.3,3,0
L0080,57.4,2,47.3,17.2,3,1
L0081,68.9,1,57.6,55.0,4,0
L0082,52.1,0,69.5,53.4,3,1
L0083,56.6,2,64.0,53.6,2,0
L0084,56.3,2,56.1,93.0,3,1
L0085,44.1,1,43.7,45.8,5,0
L0086,69.3,1,57.9,76.1,2,0
L0087,55.0,0,59.2,51.3,3,0
L0088,62.2,2,66.2,61.7,3,1
L0089,69.2,1,52.2,62.3,3,0
L0090,68.7,2,63.2,79.9,3,1
L0091,72.0,1,40.2,67.6,4,0
L0092,60.5,1,60.8,71.0,3,1
L0093,55.7,0,64.8,73.7,4,0
L0094,60.8,0,55.1,82.5,3,1
L0095,36.7,2,67.0,88.1,3,1
L0096,40.3,1,36.6,81.4,2,1
L0097,42.2,1,50.8,60.4,1,0
L0098,47.0,3,50.4,77.6,3,1
L0099,68.0,3,61.2,79.6,5,1
L0100,48.4,2,50.3,75.8,4,1
L0101,56.3,0,57.3,54.8,4,0
L0102,81.5,1,80.0,86.1,3,1
L0103,56.7,2,72.7,67.1,3,0
L0104,73.1,1,65.2,84.7,4,1
L0105,48.0,0,61.2,51.2,5,1
L0106,58.9,2,49.0,73.1,4,1
L0107,47.7,1,60.5,85.2,4,1
L0108,56.9,1,47.2,89.9,3,1
L0109,74.6,3,79.1,69.6,3,0
L0110,36.1,1,71.4,86.3,2,0
L0111,68.5,1,61.2,84.6,2,1
L0112,65.6,1,34.8,91.3,2,0
L0113,53.1,1,47.6,70.3,3,1
L0114,40.3,0,62.0,59.1,3,0
L0115,63.1,2,66.3,51.9,2,0
L0116,54.1,2,57.7,64.0,3,1
L0117,65.5,1,73.1,68.7,3,1
L0118,62.3,1,65.1,81.3,2,0
L0119,86.0,2,86.9,83.2,3,1
L0120,58.4,0,68.2,71.4,3,1
L0121,46.6,1,68.9,86.2,3,1
L0122,64.7,1,64.9,33.0,4,0
L0123,65.3,2,71.8,77.9,1,1
L0124,82.4,0,66.6,88.0,1,0
L0125,74.5,2,58.8,30.2,3,1
L0126,67.4,1,82.5,49.0,3,0
L0127,83.9,1,73.8,67.8,3,1
L0128,44.2,0,59.0,85.1,3,1
L0129,52.4,1,55.3,97.2,2,1
L0130,48.1,1,44.4,74.4,3,1
L0131,56.2,0,56.0,75.7,3,1
L0132,41.3,0,65.0,87.3,4,0
L0133,71.5,0,71.0,79.0,3,1
L0134,58.7,1,36.7,61.3,3,0
L0135,39.9,0,44.4,49.4,5,1
L0136,46.8,3,72.1,87.2,3,1
L0137,66.7,1,59.1,91.2,4,1
L0138,74.6,2,44.4,70.7,4,1
L0139,92.0,3,98.3,92.5,4,1
L0140,100.0,0,88.2,97.0,3,1
L0141,68.2,2,61.7,90.0,3,1
L0142,47.2,2,46.5,39.9,3,0
L0143,30.0,2,54.5,90.7,3,1
L0144,66.0,1,54.8,44.1,3,1
L0145,49.8,1,66.2,45.8,5,1
L0146,55.8,0,62.2,85.0,4,1
L0147,52.8,1,57.0,56.4,3,0
L0148,59.9,3,59.7,57.1,4,1
L0149,78.0,3,65.8,82.3,2,1
L0150,64.4,0,72.9,32.7,3,0
L0151,59.6,2,47.4,89.0,4,1
L0152,46.5,1,31.1,87.7,4,0
L0153,36.9,3,52.7,95.7,2,1
L0154,54.7,0,62.7,87.4,3,0
L0155,61.2,3,64.4,81.7,5,1
L0156,88.5,2,78.6,74.0,3,0
L0157,64.0,0,56.3,50.0,5,1
L0158,76.7,0,76.7,62.8,3,1
L0159,54.5,2,54.4,93.9,3,1
L0160,44.2,0,43.5,82.6,3,1
L0161,47.5,1,47.4,90.0,4,0
L0162,51.1,3,77.4,77.1,4,1
L0163,93.9,1,55.8,67.3,2,1
L0164,49.7,1,58.3,74.7,3,1
L0165,74.6,1,45.9,67.7,4,1
L0166,48.5,0,50.4,65.8,3,1
L0167,76.0,3,61.6,84.8,3,1
L0168,67.8,1,37.3,21.7,4,0
L0169,59.7,0,62.5,79.0,4,0
L0170,61.4,1,54.2,75.2,3,0
L0171,52.2,3,28.5,92.6,3,0
L0172,68.7,0,72.9,66.8,2,1
L0173,55.2,2,72.6,81.3,2,1
L0174,43.6,2,66.9,70.8,3,1
L0175,42.8,2,52.9,76.5,3,1
L0176,64.6,3,61.1,74.7,2,1
L0177,85.7,2,88.1,56.0,2,1
L0178,64.4,3,80.6,39.4,2,1
L0179,60.2,0,71.7,76.3,4,1
L0180,66.3,2,50.2,64.5,1,1
L0181,81.6,1,72.3,67.2,2,1
L0182,65.3,1,66.2,69.7,1,1
L0183,55.8,3,34.0,87.4,3,1
L0184,78.6,3,73.9,86.5,1,1
L0185,68.4,2,89.9,38.7,3,1
L0186,85.0,1,79.4,47.7,5,1
L0187,64.7,1,78.3,74.6,5,1
L0188,43.6,1,51.2,69.9,1,0
L0189,41.5,1,46.9,38.6,3,0
L0190,86.8,1,77.3,78.0,2,1
L0191,87.9,0,63.5,76.0,2,0
L0192,59.3,0,46.1,85.3,3,1
L0193,56.3,2,71.1,82.8,4,1
L0194,83.9,1,87.6,78.0,4,1
L0195,45.4,3,38.1,27.3,2,0
L0196,48.6,1,63.3,90.5,4,1
L0197,71.6,0,63.4,38.1,1,0
L0198,56.1,0,59.9,56.5,2,1
L0199,61.9,0,64.6,78.9,2,1
L0200,59.5,3,69.7,79.8,3,1
L0201,67.1,0,62.9,41.3,3,1
L0202,83.1,1,87.6,77.5,3,1
L0203,63.4,3,63.6,85.0,3,1
L0204,71.7,3,71.9,79.4,3,1
L0205,31.2,0,32.2,76.7,4,0
L0206,61.3,0,84.6,45.5,3,1
L0207,49.4,0,57.8,78.3,3,0
L0208,43.7,0,57.6,75.1,3,0
L0209,48.8,0,32.6,93.8,4,0
L0210,57.0,1,46.5,52.1,3,1
L0211,75.7,3,81.5,67.5,3,1
L0212,42.1,1,51.6,71.4,4,0
L0213,62.5,2,36.4,65.2,2,0
L0214,54.7,0,67.6,93.6,5,1
L0215,57.1,2,49.9,76.5,2,0
L0216,77.0,1,84.3,68.9,3,1
L0217,70.1,2,62.5,58.8,2,1
L0218,82.1,3,72.6,88.9,5,0
L0219,59.7,1,72.0,71.9,3,0
L0220,51.6,0,42.6,51.4,3,1
L0221,58.6,0,45.3,79.1,3,0
L0222,65.6,1,58.7,43.8,3,1
L0223,64.6,3,70.5,81.4,3,1
L0224,45.7,1,34.2,73.5,3,0
L0225,63.4,2,39.8,81.0,1,1
L0226,65.4,1,70.9,60.9,3,1
L0227,99.8,0,72.6,75.8,3,1
L0228,90.2,1,69.9,91.7,4,1
L0229,49.2,2,29.8,44.4,4,0
L0230,57.7,2,48.6,53.5,3,0
L0231,40.0,1,46.9,44.4,4,0
L0232,53.1,0,65.4,79.3,2,0
L0233,66.7,2,52.4,79.8,4,1
L0234,80.1,0,88.9,30.0,3,1
L0235,51.1,3,44.9,70.9,2,1
L0236,52.2,0,45.5,48.8,3,1
L0237,29.8,0,59.8,77.5,4,0
L0238,59.6,1,60.3,40.4,3,1
L0239,46.1,1,43.7,61.0,4,0
L0240,54.1,1,52.9,85.7,2,1
L0241,48.8,1,68.1,74.0,4,1
L0242,60.6,3,75.9,54.3,3,1
L0243,35.6,1,34.8,32.5,3,1
L0244,40.0,1,46.5,60.2,3,1
L0245,93.9,1,77.7,70.5,4,1
L0246,42.7,0,36.6,99.7,3,1
L0247,45.5,1,49.4,87.0,2,1
L0248,89.6,0,74.3,62.3,4,1
L0249,100.0,2,93.7,88.9,5,1
L0250,44.4,0,63.9,69.3,3,0
L0251,56.5,3,52.1,75.1,1,0
L0252,67.1,1,59.4,94.2,4,1
L0253,87.9,3,81.3,42.2,3,1
L0254,47.2,1,43.9,59.0,3,0
L0255,58.3,0,64.1,72.4,4,0
L0256,73.7,2,64.5,83.3,3,1
L0257,68.5,2,51.1,71.6,3,0
L0258,56.4,2,44.5,85.2,3,1
L0259,60.0,1,75.4,90.4,4,1
L0260,41.4,2,45.9,92.0,3,1
L0261,58.4,2,76.8,75.3,2,1
L0262,58.0,2,50.7,71.4,2,0
L0263,65.5,1,64.5,89.1,3,1
L0264,53.7,2,83.2,71.5,2,1
L0265,69.1,2,50.3,73.7,2,1
L0266,77.2,3,44.7,72.5,4,1
L0267,64.3,1,75.8,81.9,4,0
L0268,67.3,1,52.1,63.4,3,0
L0269,62.8,2,59.3,83.7,3,0
L0270,62.0,1,52.1,66.6,3,0
L0271,51.2,2,56.4,63.2,4,0
L0272,66.7,1,50.3,44.6,4,1
L0273,60.5,0,56.1,86.5,1,1
L0274,93.4,2,81.8,58.2,3,1
L0275,85.6,0,60.0,65.6,4,1
L0276,67.8,0,53.9,31.2,3,0
L0277,50.6,2,48.6,73.0,3,0
L0278,45.3,2,32.8,54.6,4,1
L0279,79.9,3,63.9,75.4,3,1
L0280,65.9,0,62.7,55.4,4,1
L0281,69.2,0,58.3,67.8,4,0
L0282,35.8,3,41.5,29.7,3,0
L0283,75.9,0,66.5,84.6,3,1
L0284,68.8,0,55.0,56.2,1,1
L0285,45.3,1,58.2,46.5,3,1
L0286,54.9,1,72.4,99.0,2,0
L0287,66.0,3,55.7,64.0,3,0
L0288,62.8,2,65.4,59.2,3,1
L0289,57.6,2,53.8,34.0,4,1
L0290,60.4,0,62.6,77.8,4,1
L0291,58.2,1,75.8,80.3,3,0
L0292,64.3,1,66.5,70.7,5,0
L0293,84.1,0,50.0,89.2,3,1
L0294,23.5,0,43.4,69.9,2,0
L0295,58.4,1,71.9,81.3,3,1
L0296,64.6,0,57.9,52.2,3,0
L0297,66.4,1,73.5,53.2,4,0
L0298,56.4,2,47.8,84.4,2,1
L0299,35.6,0,26.8,43.2,3,0
L0300,66.9,1,63.5,64.6,3,0
L0301,87.9,2,52.3,49.8,3,1
L0302,39.0,2,43.6,75.7,4,1
L0303,75.0,2,81.7,45.8,4,1
L0304,57.1,1,33.5,76.0,4,1
L0305,61.1,2,43.2,42.5,3,0
L0306,46.2,0,38.0,56.4,4,0
L0307,57.0,1,55.6,76.2,2,1
L0308,81.5,0,65.4,89.6,2,1
L0309,70.7,1,80.7,69.8,2,1
L0310,88.0,1,84.8,42.3,3,1
L0311,79.7,0,74.8,81.2,4,0
L0312,68.6,2,64.5,71.8,3,1
L0313,88.2,1,78.2,42.1,3,1
L0314,68.6,0,52.4,73.0,3,0
L0315,74.4,0,76.2,88.1,4,1
L0316,57.6,1,43.3,77.1,3,1
L0317,63.0,1,69.7,47.2,3,0
L0318,51.5,1,67.6,86.5,2,1
L0319,76.8,0,69.8,34.3,3,1
L0320,44.3,2,47.3,89.0,4,0
L0321,73.7,3,70.4,89.0,3,1
L0322,59.1,1,23.2,86.8,2,0
L0323,79.6,2,72.4,25.9,4,1
L0324,73.3,2,63.9,79.9,3,1
L0325,89.3,3,73.5,38.7,4,1
L0326,73.0,1,73.6,81.8,4,1
L0327,38.4,3,45.2,52.9,3,0
L0328,61.0,3,44.9,73.9,2,1
L0329,44.4,2,47.7,88.8,5,0
L0330,54.2,1,55.6,46.6,3,0
L0331,84.7,0,72.9,71.6,3,1
L0332,71.6,0,66.3,76.3,4,1
L0333,51.5,1,65.8,76.5,4,1
L0334,46.8,1,37.7,54.0,4,0
L0335,62.5,1,61.5,37.8,3,0
L0336,43.8,1,64.5,61.4,3,1
L0337,51.9,1,32.7,29.6,2,0
L0338,66.7,2,63.8,73.0,4,1
L0339,79.3,0,61.6,86.9,3,1
L0340,71.1,0,59.7,60.4,3,1
L0341,27.6,2,29.3,76.6,3,1
L0342,66.6,2,59.6,44.7,3,1
L0343,63.1,3,81.8,50.2,2,1
L0344,68.2,2,47.3,49.6,4,1
L0345,86.2,3,58.4,59.7,4,1
L0346,31.1,1,26.5,55.7,3,0
L0347,53.1,1,75.0,68.2,4,1
L0348,70.9,0,58.4,67.9,3,1
L0349,38.3,1,45.7,83.6,3,1
L0350,84.1,3,66.4,52.5,2,0
L0351,67.5,1,50.8,94.4,2,0
L0352,74.7,1,63.3,41.0,2,0
L0353,53.4,1,83.9,88.7,1,1
L0354,74.2,0,82.5,54.1,4,1
L0355,78.0,0,57.7,63.8,3,1
L0356,65.5,0,68.8,77.7,3,0
L0357,65.5,3,51.1,92.9,1,1
L0358,66.1,1,40.0,44.5,1,0
L0359,49.0,2,64.2,48.6,3,0
L0360,59.8,2,71.8,72.8,5,1
L0361,59.7,0,70.4,61.6,2,0
L0362,67.8,0,56.6,58.0,4,1
L0363,77.0,2,65.3,27.2,3,1
L0364,46.1,0,59.4,90.0,3,0
L0365,60.1,3,62.8,80.0,4,1
L0366,84.2,0,66.6,90.1,3,1
L0367,50.8,2,33.5,91.2,2,1
L0368,49.7,2,53.7,61.7,4,1
L0369,65.0,0,73.7,78.4,3,1
L0370,74.7,0,51.7,64.3,4,1
L0371,62.2,3,66.9,74.2,2,1
L0372,81.9,0,74.0,95.3,4,1
L0373,74.9,1,75.2,69.2,3,1
L0374,74.6,1,76.5,69.4,3,0
L0375,70.3,0,55.3,60.0,3,1
L0376,96.9,2,58.9,53.7,3,1
L0377,58.9,2,51.0,88.2,3,1
L0378,31.9,1,53.2,42.5,3,0
L0379,86.1,2,65.8,40.6,4,0
L0380,55.1,0,47.0,89.5,3,1
L0381,63.6,0,38.1,39.6,2,0
L0382,81.6,1,90.9,54.7,2,1
L0383,38.0,3,55.8,69.0,2,0
L0384,43.2,0,58.0,43.3,4,0
L0385,38.0,0,57.5,85.7,2,1
L0386,50.1,1,59.5,75.8,3,1
L0387,68.6,2,59.8,54.0,3,1
L0388,69.9,0,61.5,85.2,3,1
L0389,66.1,1,56.2,77.6,3,1
L0390,40.8,2,79.1,81.5,3,1
L0391,27.3,1,46.7,74.9,1,0
L0392,62.8,0,54.0,21.8,3,0
L0393,54.9,0,60.8,43.5,3,0
L0394,68.9,1,50.8,58.4,5,1
L0395,72.5,1,82.9,72.3,5,1
L0396,64.1,2,52.3,42.9,2,1
L0397,73.4,2,71.4,90.7,3,1
L0398,65.4,2,73.8,68.2,2,1
L0399,70.0,3,68.1,32.6,4,1
L0400,51.4,1,54.4,97.1,4,1
L0401,59.3,1,57.7,61.4,3,1
L0402,65.0,3,60.0,69.2,3,1
L0403,74.3,0,58.9,85.0,4,1
L0404,56.1,2,50.5,65.3,4,0
L0405,69.8,2,81.2,91.1,4,1
L0406,58.0,0,55.6,74.4,4,0
L0407,60.2,1,48.7,57.0,3,0
L0408,74.4,0,59.7,81.5,4,1
L0409,32.1,0,55.9,81.9,4,1
L0410,42.6,1,56.5,39.7,3,1
L0411,39.8,1,53.6,96.2,3,1
L0412,27.0,2,36.8,66.8,4,0
L0413,51.8,3,60.4,70.9,5,1
L0414,73.2,2,57.6,19.0,2,0
L0415,57.7,0,53.6,60.1,3,1
L0416,65.0,0,72.4,78.4,3,1
L0417,78.3,0,78.6,74.7,4,1
L0418,81.9,0,58.3,60.4,3,0
L0419,61.0,3,48.3,41.1,5,1
L0420,82.3,1,71.6,69.4,3,1
L0421,63.4,0,80.6,38.0,4,1
L0422,49.4,2,29.2,87.2,5,1
L0423,53.1,1,57.5,34.3,3,0
L0424,39.8,0,30.4,85.0,3,0
L0425,48.7,0,44.2,58.1,2,0
L0426,56.6,2,51.8,88.6,3,1
L0427,74.1,2,60.7,49.9,2,1
L0428,87.8,0,66.9,40.3,4,1
L0429,41.3,3,47.8,68.5,3,0
L0430,67.9,2,55.9,81.4,3,1
L0431,46.4,2,33.0,85.3,3,1
L0432,69.1,0,72.4,56.9,4,1
L0433,60.0,0,67.1,49.0,2,1
L0434,34.5,2,54.1,46.7,3,1
L0435,75.9,1,48.3,55.9,4,0
L0436,52.9,1,57.7,28.2,1,1
L0437,54.0,2,62.8,60.1,4,1
L0438,46.0,0,37.9,78.8,2,1
L0439,52.2,2,53.8,68.1,3,1
L0440,68.4,3,61.2,68.0,2,0
L0441,59.2,2,79.6,69.1,4,1
L0442,66.9,1,84.9,71.4,2,1
L0443,67.4,2,42.1,43.2,2,1
L0444,81.8,1,99.9,65.4,3,1
L0445,56.9,2,45.3,77.8,3,0
L0446,39.8,2,58.7,64.9,2,0
L0447,78.0,2,79.6,34.7,4,1
L0448,57.0,1,44.4,61.7,1,0
L0449,78.7,0,74.2,81.3,2,1
L0450,67.8,0,61.0,81.5,3,1
L0451,60.0,1,64.7,86.2,4,1
L0452,67.2,1,64.7,55.1,4,0
L0453,91.3,1,89.6,70.3,4,1
L0454,93.2,1,77.1,61.7,3,1
L0455,63.0,2,57.7,64.9,1,0
L0456,64.4,3,73.6,94.8,3,1
L0457,78.1,0,74.9,86.7,4,1
L0458,49.3,2,60.9,92.3,4,1
L0459,67.0,2,53.9,40.4,4,1
L0460,61.6,1,46.3,39.9,2,1
L0461,66.7,0,54.9,78.6,3,1
L0462,49.5,2,44.8,80.0,5,1
L0463,38.2,3,55.4,84.9,2,0
L0464,30.9,2,53.7,94.0,2,0
L0465,45.2,3,48.0,72.9,4,0
L0466,55.1,3,72.5,55.6,3,1
L0467,57.6,1,73.1,56.7,2,0
L0468,91.1,2,78.0,95.0,4,1
L0469,78.6,1,58.4,82.6,4,1
L0470,47.6,3,70.1,90.1,3,0
L0471,67.2,0,61.2,30.4,2,1
L0472,55.9,1,57.3,88.4,5,1
L0473,57.7,2,52.7,41.6,3,1
L0474,64.8,1,50.0,77.1,4,1
L0475,71.3,2,46.6,69.5,4,0
L0476,56.9,1,63.9,41.8,3,0
L0477,78.0,3,58.5,75.2,3,1
L0478,44.9,3,86.4,49.5,4,1
L0479,62.1,1,46.1,60.5,4,0
L0480,100.0,2,64.9,53.1,1,1
L0481,65.3,1,67.1,48.6,4,1
L0482,83.5,1,89.3,81.9,3,1
L0483,63.4,2,60.6,77.8,2,0
L0484,70.7,2,70.8,64.1,3,1
L0485,61.1,0,36.5,54.6,2,0
L0486,59.4,0,49.6,56.4,3,1
L0487,50.3,2,39.8,86.1,2,1
L0488,68.5,1,39.9,59.1,3,0
L0489,49.2,1,53.5,78.3,3,0
L0490,72.0,0,37.7,62.3,2,0
L0491,78.3,1,52.2,46.8,5,1
L0492,67.5,2,55.7,60.4,4,1
L0493,57.7,0,46.8,41.5,5,0
L0494,68.8,1,67.6,61.0,3,1
L0495,57.4,3,60.2,76.9,3,1
L0496,76.0,0,77.5,80.2,5,1
L0497,34.5,2,53.0,77.0,3,0
L0498,57.0,0,70.0,36.9,3,1
L0499,32.1,2,42.7,53.0,4,1
L0500,39.6,2,50.4,28.3,2,0
L0501,82.5,3,76.5,85.0,4,1
L0502,75.4,0,68.2,50.0,4,0
L0503,51.2,1,48.4,72.3,4,1
L0504,39.5,2,42.7,65.4,4,1
L0505,17.5,0,24.8,71.2,4,0
L0506,53.8,0,59.7,61.6,3,0
L0507,98.3,0,77.9,75.2,2,1
L0508,68.5,3,54.7,71.4,5,1
L0509,53.6,2,46.5,56.6,2,0
L0510,69.0,2,48.4,46.6,2,1
L0511,38.6,2,58.0,67.0,4,1
L0512,57.5,1,57.6,80.4,5,1
L0513,63.5,1,49.6,55.7,3,0
L0514,60.7,1,68.1,68.5,4,1
L0515,73.9,2,58.9,38.1,1,0
L0516,67.2,0,45.1,67.8,3,0
L0517,72.0,3,76.9,51.8,1,1
L0518,51.7,2,47.0,94.4,4,1
L0519,75.5,1,61.6,38.3,2,0
L0520,86.4,1,73.0,83.6,2,1
L0521,47.4,0,64.8,38.7,4,1
L0522,48.7,3,52.0,76.7,4,1
L0523,82.0,3,55.7,73.8,3,1
L0524,59.1,3,64.0,71.0,4,1
L0525,83.1,1,64.9,74.4,4,0
L0526,55.4,0,78.1,40.2,3,0
L0527,83.8,0,71.1,69.1,2,0
L0528,64.0,0,33.4,31.4,4,0
L0529,65.9,0,65.5,48.4,4,0
L0530,85.5,0,95.3,54.3,4,1
L0531,56.6,3,75.0,80.7,3,1
L0532,47.9,0,73.3,55.2,2,0
L0533,55.3,0,43.2,38.2,4,1
L0534,68.8,2,73.8,56.7,3,1
L0535,38.5,1,37.5,92.1,3,0
L0536,71.6,2,67.1,51.8,3,1
L0537,53.9,2,39.4,70.1,2,0
L0538,79.2,3,60.8,93.2,4,1
L0539,26.1,2,31.2,97.8,2,1
L0540,50.2,1,63.4,84.6,2,1
L0541,36.7,2,54.8,94.6,3,0
L0542,49.6,1,55.6,67.8,5,0
L0543,65.7,1,44.9,95.0,4,1
L0544,59.3,1,53.9,52.3,2,1
L0545,58.2,0,48.1,89.0,4,1
L0546,59.6,2,68.2,51.7,4,1
L0547,65.1,0,74.9,91.2,2,1
L0548,46.9,0,63.5,73.2,1,0
L0549,72.6,0,55.9,48.0,3,1
L0550,71.9,2,31.7,32.0,4,1
L0551,67.8,1,41.1,49.4,5,1
L0552,70.3,2,80.8,85.0,2,1
L0553,66.4,2,56.7,59.2,5,0
L0554,92.5,0,66.9,40.5,1,1
L0555,60.7,2,78.1,80.8,3,1
L0556,57.4,1,71.7,92.1,3,1
L0557,50.7,0,53.2,50.8,4,0
L0558,46.5,2,47.1,81.4,4,0
L0559,43.3,3,47.2,32.9,4,1
L0560,48.7,1,54.5,62.9,2,1
L0561,60.9,1,77.7,64.7,4,1
L0562,67.0,1,66.9,61.5,4,1
L0563,62.8,1,68.2,25.4,2,0
L0564,50.5,2,66.8,83.1,1,0
L0565,75.5,1,52.5,73.7,4,1
L0566,73.1,2,74.3,78.0,3,1
L0567,59.6,0,54.2,61.7,2,1
L0568,52.2,2,23.5,68.9,3,1
L0569,70.2,2,38.1,59.3,3,1
L0570,64.8,2,48.4,86.3,3,1
L0571,40.3,0,53.5,59.8,2,0
L0572,61.0,1,59.9,90.8,5,1
L0573,65.9,1,63.5,74.0,4,1
L0574,48.5,0,75.1,57.4,3,0
L0575,64.8,0,45.4,67.8,3,1
L0576,40.2,1,46.8,61.0,3,0
L0577,82.0,2,73.8,65.1,2,1
L0578,80.7,0,60.6,55.2,3,0
L0579,58.2,2,57.4,58.7,2,1
L0580,67.5,1,42.9,76.4,3,1
L0581,25.9,2,56.1,68.1,2,0
L0582,44.7,1,41.4,72.0,2,1
L0583,57.6,1,81.1,82.2,5,1
L0584,45.9,1,49.9,52.3,3,1
L0585,72.7,3,77.3,66.6,3,1
L0586,92.0,1,74.9,62.0,1,1
L0587,44.4,1,49.0,28.2,3,0
L0588,49.4,1,45.2,53.2,4,0
L0589,65.5,2,62.5,66.8,3,1
L0590,86.2,0,76.2,90.3,1,1
L0591,43.7,1,39.6,48.8,3,0
L0592,65.7,1,59.7,30.1,3,1
L0593,89.3,3,66.8,68.5,4,1
L0594,37.2,1,73.1,96.0,3,1
L0595,42.8,1,47.5,81.5,1,0
L0596,55.6,3,74.1,56.3,2,1
L0597,54.2,1,52.5,58.0,2,0
L0598,74.2,0,68.9,56.2,4,1
L0599,65.6,0,45.2,76.3,1,1
L0600,35.4,0,39.1,84.9,3,0
L0601,69.7,0,65.9,75.6,4,1
L0602,53.3,1,73.4,97.7,3,1
L0603,81.1,2,72.3,63.8,4,1
L0604,52.6,2,70.5,85.5,2,1
L0605,52.5,0,61.5,67.9,2,0
L0606,70.1,1,83.1,57.4,4,1
L0607,73.4,0,64.7,59.0,3,1
L0608,68.7,3,91.5,31.9,3,1
L0609,36.7,0,39.4,39.9,2,0
L0610,70.1,2,54.3,79.8,3,1
L0611,46.5,1,36.0,87.9,2,1
L0612,65.5,2,89.0,55.9,4,1
L0613,40.6,1,57.2,50.4,5,1
L0614,68.7,2,58.8,70.5,4,1
L0615,49.9,0,67.4,27.2,3,0
L0616,42.8,3,56.8,36.4,1,0
L0617,72.7,1,88.6,65.3,2,1
L0618,65.6,2,42.5,61.2,4,1
L0619,52.8,2,50.9,82.4,2,0
L0620,83.8,3,65.5,75.0,3,1
L0621,55.4,0,31.8,69.0,4,1
L0622,62.5,1,72.1,74.7,4,0
L0623,66.0,0,58.1,75.0,3,1
L0624,52.7,0,62.9,75.3,3,1
L0625,69.1,1,91.3,60.6,3,1
L0626,54.0,3,50.5,51.6,3,0
L0627,55.8,3,50.7,40.6,3,0
L0628,82.4,1,71.8,80.9,3,1
L0629,46.4,2,62.4,56.7,3,1
L0630,25.8,2,32.4,64.1,5,1
L0631,86.2,3,64.8,74.7,3,1
